datetime,open,high,low,close,volume,symbol
2026-01-05 09:00:00,100.00,100.35,99.80,100.20,1200,DEMO
2026-01-05 09:15:00,100.20,100.50,100.05,100.40,1150,DEMO
2026-01-05 09:30:00,100.40,100.90,100.30,100.75,1320,DEMO
2026-01-05 09:45:00,100.75,101.05,100.55,100.95,980,DEMO
2026-01-05 10:00:00,100.95,101.10,100.65,100.80,1040,DEMO
2026-01-05 10:15:00,100.80,101.30,100.75,101.15,1110,DEMO
2026-01-05 10:30:00,101.15,101.40,100.90,101.05,950,DEMO
2026-01-05 10:45:00,101.05,101.55,100.95,101.45,990,DEMO
2026-01-05 11:00:00,101.45,101.70,101.20,101.35,1020,DEMO
2026-01-06 09:00:00,101.20,101.45,101.00,101.10,1180,DEMO
2026-01-06 09:15:00,101.10,101.35,100.75,100.85,1210,DEMO
2026-01-06 09:30:00,100.85,101.05,100.45,100.60,1400,DEMO
2026-01-06 09:45:00,100.60,100.95,100.40,100.90,1070,DEMO
2026-01-06 10:00:00,100.90,101.20,100.80,101.10,990,DEMO
2026-01-06 10:15:00,101.10,101.25,100.65,100.70,1300,DEMO
2026-01-06 10:30:00,100.70,101.10,100.55,100.95,1010,DEMO
2026-01-06 10:45:00,100.95,101.30,100.90,101.25,970,DEMO
2026-01-06 11:00:00,101.25,101.50,101.05,101.40,1090,DEMO
2026-01-07 09:00:00,101.55,101.85,101.35,101.70,1260,DEMO
2026-01-07 09:15:00,101.70,102.10,101.60,101.95,1170,DEMO
2026-01-07 09:30:00,101.95,102.35,101.85,102.20,1350,DEMO
2026-01-07 09:45:00,102.20,102.75,102.05,102.65,1420,DEMO
2026-01-07 10:00:00,102.65,102.95,102.45,102.80,1190,DEMO
2026-01-07 10:15:00,102.80,103.20,102.70,103.05,1250,DEMO
2026-01-07 10:30:00,103.05,103.30,102.80,102.95,1100,DEMO
2026-01-07 10:45:00,102.95,103.45,102.85,103.35,1220,DEMO
2026-01-07 11:00:00,103.35,103.60,103.10,103.25,1080,DEMO
2026-01-08 09:00:00,103.10,103.40,102.90,103.00,1240,DEMO
2026-01-08 09:15:00,103.00,103.25,102.60,102.70,1160,DEMO
2026-01-08 09:30:00,102.70,103.05,102.50,102.95,1380,DEMO
2026-01-08 09:45:00,102.95,103.35,102.85,103.20,1120,DEMO
2026-01-08 10:00:00,103.20,103.45,102.95,103.05,1030,DEMO
2026-01-08 10:15:00,103.05,103.55,102.95,103.45,1260,DEMO
2026-01-08 10:30:00,103.45,103.70,103.20,103.35,1050,DEMO
2026-01-08 10:45:00,103.35,103.80,103.25,103.65,980,DEMO
2026-01-08 11:00:00,103.65,103.90,103.40,103.55,1140,DEMO

