datetime,open,high,low,close,volume,symbol
2026-01-08 09:30:00,102.70,102.78,102.65,102.74,200,DEMO
2026-01-08 09:31:00,102.74,102.82,102.70,102.80,210,DEMO
2026-01-08 09:32:00,102.80,102.86,102.76,102.82,190,DEMO
2026-01-08 09:33:00,102.82,102.90,102.78,102.88,220,DEMO
2026-01-08 09:34:00,102.88,102.96,102.84,102.93,205,DEMO
2026-01-08 09:35:00,102.93,103.02,102.90,102.98,215,DEMO
2026-01-08 09:36:00,102.98,103.05,102.94,103.01,198,DEMO
2026-01-08 09:37:00,103.01,103.08,102.96,103.04,202,DEMO
2026-01-08 09:38:00,103.04,103.12,103.00,103.08,212,DEMO
2026-01-08 09:39:00,103.08,103.15,103.02,103.10,207,DEMO

