datetime,open,high,low,close,volume,symbol,date,time,elapsed_minutes,OR_high,OR_low,OR_mid,prev_atr,abs_deviation,deviation_pct
2026-01-05 09:00:00,100.0,100.35,99.8,100.2,1200,DEMO,2026-01-05,09:00,0,100.5,99.8,100.15,,,
2026-01-05 09:15:00,100.2,100.5,100.05,100.4,1150,DEMO,2026-01-05,09:15,15,100.5,99.8,100.15,,,
2026-01-05 09:30:00,100.4,100.9,100.3,100.75,1320,DEMO,2026-01-05,09:30,30,100.5,99.8,100.15,,,
2026-01-05 09:45:00,100.75,101.05,100.55,100.95,980,DEMO,2026-01-05,09:45,45,100.5,99.8,100.15,,,
2026-01-05 10:00:00,100.95,101.1,100.65,100.8,1040,DEMO,2026-01-05,10:00,60,100.5,99.8,100.15,,,
2026-01-05 10:15:00,100.8,101.3,100.75,101.15,1110,DEMO,2026-01-05,10:15,75,100.5,99.8,100.15,,,
2026-01-05 10:30:00,101.15,101.4,100.9,101.05,950,DEMO,2026-01-05,10:30,90,100.5,99.8,100.15,,,
2026-01-05 10:45:00,101.05,101.55,100.95,101.45,990,DEMO,2026-01-05,10:45,105,100.5,99.8,100.15,,,
2026-01-05 11:00:00,101.45,101.7,101.2,101.35,1020,DEMO,2026-01-05,11:00,120,100.5,99.8,100.15,,,
2026-01-06 09:00:00,101.2,101.45,101.0,101.1,1180,DEMO,2026-01-06,09:00,0,101.45,100.75,101.1,1.9000000000000057,0.0,
2026-01-06 09:15:00,101.1,101.35,100.75,100.85,1210,DEMO,2026-01-06,09:15,15,101.45,100.75,101.1,1.9000000000000057,0.13157894736842066,
2026-01-06 09:30:00,100.85,101.05,100.45,100.6,1400,DEMO,2026-01-06,09:30,30,101.45,100.75,101.1,1.9000000000000057,0.2631578947368413,
2026-01-06 09:45:00,100.6,100.95,100.4,100.9,1070,DEMO,2026-01-06,09:45,45,101.45,100.75,101.1,1.9000000000000057,0.10526315789473055,
2026-01-06 10:00:00,100.9,101.2,100.8,101.1,990,DEMO,2026-01-06,10:00,60,101.45,100.75,101.1,1.9000000000000057,0.0,
2026-01-06 10:15:00,101.1,101.25,100.65,100.7,1300,DEMO,2026-01-06,10:15,75,101.45,100.75,101.1,1.9000000000000057,0.21052631578946857,
2026-01-06 10:30:00,100.7,101.1,100.55,100.95,1010,DEMO,2026-01-06,10:30,90,101.45,100.75,101.1,1.9000000000000057,0.07894736842104791,
2026-01-06 10:45:00,100.95,101.3,100.9,101.25,970,DEMO,2026-01-06,10:45,105,101.45,100.75,101.1,1.9000000000000057,0.07894736842105539,
2026-01-06 11:00:00,101.25,101.5,101.05,101.4,1090,DEMO,2026-01-06,11:00,120,101.45,100.75,101.1,1.9000000000000057,0.15789473684211078,
2026-01-07 09:00:00,101.55,101.85,101.35,101.7,1260,DEMO,2026-01-07,09:00,0,102.1,101.35,101.725,1.5,0.016666666666660983,1.0
2026-01-07 09:15:00,101.7,102.1,101.6,101.95,1170,DEMO,2026-01-07,09:15,15,102.1,101.35,101.725,1.5,0.15000000000000568,1.0
2026-01-07 09:30:00,101.95,102.35,101.85,102.2,1350,DEMO,2026-01-07,09:30,30,102.1,101.35,101.725,1.5,0.31666666666667237,1.0
2026-01-07 09:45:00,102.2,102.75,102.05,102.65,1420,DEMO,2026-01-07,09:45,45,102.1,101.35,101.725,1.5,0.6166666666666742,1.0
2026-01-07 10:00:00,102.65,102.95,102.45,102.8,1190,DEMO,2026-01-07,10:00,60,102.1,101.35,101.725,1.5,0.7166666666666686,1.0
2026-01-07 10:15:00,102.8,103.2,102.7,103.05,1250,DEMO,2026-01-07,10:15,75,102.1,101.35,101.725,1.5,0.8833333333333352,1.0
2026-01-07 10:30:00,103.05,103.3,102.8,102.95,1100,DEMO,2026-01-07,10:30,90,102.1,101.35,101.725,1.5,0.8166666666666723,1.0
2026-01-07 10:45:00,102.95,103.45,102.85,103.35,1220,DEMO,2026-01-07,10:45,105,102.1,101.35,101.725,1.5,1.0833333333333333,1.0
2026-01-07 11:00:00,103.35,103.6,103.1,103.25,1080,DEMO,2026-01-07,11:00,120,102.1,101.35,101.725,1.5,1.0166666666666704,1.0
2026-01-08 09:00:00,103.1,103.4,102.9,103.0,1240,DEMO,2026-01-08,09:00,0,103.4,102.6,103.0,1.6749999999999972,0.0,0.5
2026-01-08 09:15:00,103.0,103.25,102.6,102.7,1160,DEMO,2026-01-08,09:15,15,103.4,102.6,103.0,1.6749999999999972,0.1791044776119389,1.0
2026-01-08 09:30:00,102.7,103.05,102.5,102.95,1380,DEMO,2026-01-08,09:30,30,103.4,102.6,103.0,1.6749999999999972,0.02985074626865507,0.0
2026-01-08 09:45:00,102.95,103.35,102.85,103.2,1120,DEMO,2026-01-08,09:45,45,103.4,102.6,103.0,1.6749999999999972,0.11940298507462876,0.5
2026-01-08 10:00:00,103.2,103.45,102.95,103.05,1030,DEMO,2026-01-08,10:00,60,103.4,102.6,103.0,1.6749999999999972,0.02985074626865507,0.5
2026-01-08 10:15:00,103.05,103.55,102.95,103.45,1260,DEMO,2026-01-08,10:15,75,103.4,102.6,103.0,1.6749999999999972,0.2686567164179126,0.5
2026-01-08 10:30:00,103.45,103.7,103.2,103.35,1050,DEMO,2026-01-08,10:30,90,103.4,102.6,103.0,1.6749999999999972,0.20895522388059398,0.5
2026-01-08 10:45:00,103.35,103.8,103.25,103.65,980,DEMO,2026-01-08,10:45,105,103.4,102.6,103.0,1.6749999999999972,0.3880597014925414,0.5
2026-01-08 11:00:00,103.65,103.9,103.4,103.55,1140,DEMO,2026-01-08,11:00,120,103.4,102.6,103.0,1.6749999999999972,0.3283582089552227,0.5
